# N (bytes)  (KiB)  (MiB)  cycles
256 0 0 39.6251
352 0 0 39.625
484 0 0 39.625
664 0 0 39.6251
916 0 0 39.6251
1260 1 0 39.6251
1732 1 0 39.6251
2384 2 0 39.6252
3280 3 0 39.6252
4512 4 0 39.6255
6208 6 0 39.6254
8536 8 0 39.6261
11744 11 0 39.626
16156 15 0 39.6266
22224 21 0 39.6272
30572 29 0 39.628
42052 41 0 39.6291
57848 56 0 39.6309
79572 77 0 39.6325
109456 106 0 39.636
150560 147 0 39.6397
207104 202 0 39.6455
284880 278 0 214.616
391864 382 0 292.809
539024 526 0 293.903
741452 724 0 293.604
1019900 995 0 294.219
1402916 1370 1 293.971
1929772 1884 1 294.057
2654480 2592 2 294.228
3651352 3565 3 294.069
5022588 4904 4 294.238
6908780 6746 6 294.361
9503316 9280 9 294.493
13072212 12765 12 294.652
17981372 17559 17 294.976
24734132 24154 23 295.772
34022832 33225 32 296.839
46799828 45702 44 299.089
64375124 62866 61 319.722
88550676 86475 84 636.705
121805156 118950 116 661.792
167548088 163621 159 823.796
230469404 225067 219 847.176
317020300 309590 302 851.518
436074684 425854 415 855.252
599838964 585780 572 856.746
825103580 805765 786 857.955
1134964476 1108363 1082 858.846
1561191100 1524600 1488 859.45
